Date,Holiday,Federal_Holiday,Austin,Round_Rock,Del_Valle,Manor,Lake_Travis,Eanes,Leander
2023-08-01,Summer Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-08-02,Summer Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-08-03,Summer Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-08-04,Summer Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-08-07,Summer Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-08-08,Summer Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-08-09,Summer Break,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2023-08-10,Summer Break,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2023-08-11,Summer Break,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
2023-08-14,Summer Break,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2023-08-15,Summer Break,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE
2023-09-04,Labor Day,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-09-25,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
2023-10-06,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
2023-10-09,Indigenous Peoples Day,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-10-10,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2023-10-16,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2023-10-17,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2023-10-18,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2023-10-19,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
2023-10-20,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
2023-10-23,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2023-10-31,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2023-11-01,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2023-11-06,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2023-11-07,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
2023-11-09,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2023-11-13,Diwali,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2023-11-20,Thanksgiving Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-11-21,Thanksgiving Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-11-22,Thanksgiving Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-11-23,Thanksgiving Day,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-11-24,Thanksgiving Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-12-10,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2023-12-18,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2023-12-19,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2023-12-20,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2023-12-21,PLED Day,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
2023-12-22,PLED Day,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
2023-12-25,Christmas Day,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-12-26,Winter Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-12-27,Winter Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-12-28,Winter Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2023-12-29,Winter Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-01-01,Winter Break,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-01-02,Winter Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-01-03,Winter Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-01-04,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-01-05,,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-01-08,Student Holiday,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
2024-01-15,MLK Day,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-02-09,Student Holiday,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
2024-02-15,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
2024-02-16,,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
2024-02-19,Presidents Day,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-03-11,Spring Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-03-12,Spring Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-03-13,Spring Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-03-14,Spring Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-03-15,Spring Break,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-03-18,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
2024-03-29,Bad Weather Day,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2024-04-01,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
2024-04-10,Eid al-Fitr,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
2024-04-19,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
2024-05-24,,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
2024-05-27,Memorial Day,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
2024-05-28,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2024-05-29,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2024-05-30,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
2024-05-31,,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
