,date,is_school_day,is_work_day
0,2023-08-01,0.0,1
1,2023-08-02,0.0,1
2,2023-08-03,0.0,1
3,2023-08-04,0.0,1
4,2023-08-05,0.0,0
5,2023-08-06,0.0,0
6,2023-08-07,0.0,1
7,2023-08-08,0.0,1
8,2023-08-09,0.07,1
9,2023-08-10,0.07,1
10,2023-08-11,0.07,1
11,2023-08-12,0.0,0
12,2023-08-13,0.0,0
13,2023-08-14,0.79,1
14,2023-08-15,0.79,1
15,2023-08-16,1.0,1
16,2023-08-17,1.0,1
17,2023-08-18,1.0,1
18,2023-08-19,0.0,0
19,2023-08-20,0.0,0
20,2023-08-21,1.0,1
21,2023-08-22,1.0,1
22,2023-08-23,1.0,1
23,2023-08-24,1.0,1
24,2023-08-25,1.0,1
25,2023-08-26,0.0,0
26,2023-08-27,0.0,0
27,2023-08-28,1.0,1
28,2023-08-29,1.0,1
29,2023-08-30,1.0,1
30,2023-08-31,1.0,1
31,2023-09-01,1.0,1
32,2023-09-02,0.0,0
33,2023-09-03,0.0,0
34,2023-09-04,0.0,0
35,2023-09-05,1.0,1
36,2023-09-06,1.0,1
37,2023-09-07,1.0,1
38,2023-09-08,1.0,1
39,2023-09-09,0.0,0
40,2023-09-10,0.0,0
41,2023-09-11,1.0,1
42,2023-09-12,1.0,1
43,2023-09-13,1.0,1
44,2023-09-14,1.0,1
45,2023-09-15,1.0,1
46,2023-09-16,0.0,0
47,2023-09-17,0.0,0
48,2023-09-18,1.0,1
49,2023-09-19,1.0,1
50,2023-09-20,1.0,1
51,2023-09-21,1.0,1
52,2023-09-22,1.0,1
53,2023-09-23,0.0,0
54,2023-09-24,0.0,0
55,2023-09-25,0.19,1
56,2023-09-26,1.0,1
57,2023-09-27,1.0,1
58,2023-09-28,1.0,1
59,2023-09-29,1.0,1
60,2023-09-30,0.0,0
61,2023-10-01,0.0,0
62,2023-10-02,1.0,1
63,2023-10-03,1.0,1
64,2023-10-04,1.0,1
65,2023-10-05,1.0,1
66,2023-10-06,0.9300000000000002,1
67,2023-10-07,0.0,0
68,2023-10-08,0.0,0
69,2023-10-09,0.0,0
70,2023-10-10,0.9600000000000002,1
71,2023-10-11,1.0,1
72,2023-10-12,1.0,1
73,2023-10-13,1.0,1
74,2023-10-14,0.0,0
75,2023-10-15,0.0,0
76,2023-10-16,0.9300000000000002,1
77,2023-10-17,0.9300000000000002,1
78,2023-10-18,0.9300000000000002,1
79,2023-10-19,0.9300000000000002,1
80,2023-10-20,0.8800000000000001,1
81,2023-10-21,0.0,0
82,2023-10-22,0.0,0
83,2023-10-23,0.9500000000000002,1
84,2023-10-24,1.0,1
85,2023-10-25,1.0,1
86,2023-10-26,1.0,1
87,2023-10-27,1.0,1
88,2023-10-28,0.0,0
89,2023-10-29,0.0,0
90,2023-10-30,1.0,1
91,2023-10-31,0.9700000000000002,1
92,2023-11-01,0.9700000000000002,1
93,2023-11-02,1.0,1
94,2023-11-03,1.0,1
95,2023-11-04,0.0,0
96,2023-11-05,0.0,0
97,2023-11-06,0.9700000000000002,1
98,2023-11-07,0.9200000000000002,1
99,2023-11-08,1.0,1
100,2023-11-09,0.8900000000000001,1
101,2023-11-10,1.0,1
102,2023-11-11,0.0,0
103,2023-11-12,0.0,0
104,2023-11-13,0.32999999999999996,1
105,2023-11-14,1.0,1
106,2023-11-15,1.0,1
107,2023-11-16,1.0,1
108,2023-11-17,1.0,1
109,2023-11-18,0.0,0
110,2023-11-19,0.0,0
111,2023-11-20,0.0,1
112,2023-11-21,0.0,1
113,2023-11-22,0.0,1
114,2023-11-23,0.0,0
115,2023-11-24,0.0,1
116,2023-11-25,0.0,0
117,2023-11-26,0.0,0
118,2023-11-27,1.0,1
119,2023-11-28,1.0,1
120,2023-11-29,1.0,1
121,2023-11-30,1.0,1
122,2023-12-01,1.0,1
123,2023-12-02,0.0,0
124,2023-12-03,0.0,0
